"Time","강아지","고양이"
"2004-01-01",8,10
"2004-02-01",6,7
"2004-03-01",6,8
"2004-04-01",6,7
"2004-05-01",6,7
"2004-06-01",5,7
"2004-07-01",4,7
"2004-08-01",5,6
"2004-09-01",4,7
"2004-10-01",7,6
"2004-11-01",6,6
"2004-12-01",4,5
"2005-01-01",3,3
"2005-02-01",3,3
"2005-03-01",3,3
"2005-04-01",3,5
"2005-05-01",3,3
"2005-06-01",2,5
"2005-07-01",4,5
"2005-08-01",3,4
"2005-09-01",4,4
"2005-10-01",2,5
"2005-11-01",3,5
"2005-12-01",4,5
"2006-01-01",3,3
"2006-02-01",2,3
"2006-03-01",2,3
"2006-04-01",3,4
"2006-05-01",3,3
"2006-06-01",2,3
"2006-07-01",4,4
"2006-08-01",2,4
"2006-09-01",2,4
"2006-10-01",3,4
"2006-11-01",3,3
"2006-12-01",3,3
"2007-01-01",3,3
"2007-02-01",3,3
"2007-03-01",4,3
"2007-04-01",4,3
"2007-05-01",4,4
"2007-06-01",3,3
"2007-07-01",3,3
"2007-08-01",3,3
"2007-09-01",3,3
"2007-10-01",3,3
"2007-11-01",3,4
"2007-12-01",2,4
"2008-01-01",3,3
"2008-02-01",3,3
"2008-03-01",2,3
"2008-04-01",3,3
"2008-05-01",3,4
"2008-06-01",3,4
"2008-07-01",3,4
"2008-08-01",3,4
"2008-09-01",3,4
"2008-10-01",3,4
"2008-11-01",3,4
"2008-12-01",2,4
"2009-01-01",2,4
"2009-02-01",3,3
"2009-03-01",2,3
"2009-04-01",3,4
"2009-05-01",3,4
"2009-06-01",3,4
"2009-07-01",3,4
"2009-08-01",3,4
"2009-09-01",3,5
"2009-10-01",3,4
"2009-11-01",3,5
"2009-12-01",4,4
"2010-01-01",3,4
"2010-02-01",3,4
"2010-03-01",3,4
"2010-04-01",4,5
"2010-05-01",4,6
"2010-06-01",4,10
"2010-07-01",4,9
"2010-08-01",6,8
"2010-09-01",19,20
"2010-10-01",21,25
"2010-11-01",25,28
"2010-12-01",25,50
"2011-01-01",21,22
"2011-02-01",11,13
"2011-03-01",11,12
"2011-04-01",11,11
"2011-05-01",12,14
"2011-06-01",15,24
"2011-07-01",16,33
"2011-08-01",17,30
"2011-09-01",18,29
"2011-10-01",22,43
"2011-11-01",36,38
"2011-12-01",21,32
"2012-01-01",37,88
"2012-02-01",35,67
"2012-03-01",37,66
"2012-04-01",21,24
"2012-05-01",18,22
"2012-06-01",21,30
"2012-07-01",20,32
"2012-08-01",18,26
"2012-09-01",17,27
"2012-10-01",19,28
"2012-11-01",20,25
"2012-12-01",20,28
"2013-01-01",23,28
"2013-02-01",24,24
"2013-03-01",23,21
"2013-04-01",23,22
"2013-05-01",23,23
"2013-06-01",24,31
"2013-07-01",25,32
"2013-08-01",24,30
"2013-09-01",26,27
"2013-10-01",27,25
"2013-11-01",27,28
"2013-12-01",32,42
"2014-01-01",27,32
"2014-02-01",26,26
"2014-03-01",23,22
"2014-04-01",22,21
"2014-05-01",25,29
"2014-06-01",25,29
"2014-07-01",27,32
"2014-08-01",25,32
"2014-09-01",23,29
"2014-10-01",22,30
"2014-11-01",22,30
"2014-12-01",23,31
"2015-01-01",25,33
"2015-02-01",25,29
"2015-03-01",27,28
"2015-04-01",24,27
"2015-05-01",27,29
"2015-06-01",27,31
"2015-07-01",28,31
"2015-08-01",27,31
"2015-09-01",23,31
"2015-10-01",22,32
"2015-11-01",22,33
"2015-12-01",24,34
"2016-01-01",25,33
"2016-02-01",29,31
"2016-03-01",23,30
"2016-04-01",23,30
"2016-05-01",28,30
"2016-06-01",26,32
"2016-07-01",25,33
"2016-08-01",24,31
"2016-09-01",26,31
"2016-10-01",24,32
"2016-11-01",22,33
"2016-12-01",24,36
"2017-01-01",26,38
"2017-02-01",26,35
"2017-03-01",24,33
"2017-04-01",27,36
"2017-05-01",27,35
"2017-06-01",28,35
"2017-07-01",27,38
"2017-08-01",27,37
"2017-09-01",25,36
"2017-10-01",28,39
"2017-11-01",26,37
"2017-12-01",27,39
"2018-01-01",28,40
"2018-02-01",26,38
"2018-03-01",26,37
"2018-04-01",26,38
"2018-05-01",27,39
"2018-06-01",28,41
"2018-07-01",30,41
"2018-08-01",31,42
"2018-09-01",29,41
"2018-10-01",27,41
"2018-11-01",26,39
"2018-12-01",27,40
"2019-01-01",27,38
"2019-02-01",29,39
"2019-03-01",28,40
"2019-04-01",28,39
"2019-05-01",29,40
"2019-06-01",31,42
"2019-07-01",32,45
"2019-08-01",34,45
"2019-09-01",34,44
"2019-10-01",32,48
"2019-11-01",31,44
"2019-12-01",31,45
"2020-01-01",34,48
"2020-02-01",35,49
"2020-03-01",37,55
"2020-04-01",38,56
"2020-05-01",42,60
"2020-06-01",44,61
"2020-07-01",42,62
"2020-08-01",44,64
"2020-09-01",44,65
"2020-10-01",39,60
"2020-11-01",38,55
"2020-12-01",41,60
"2021-01-01",45,60
"2021-02-01",41,56
"2021-03-01",39,54
"2021-04-01",40,56
"2021-05-01",43,59
"2021-06-01",46,60
"2021-07-01",50,67
"2021-08-01",47,71
"2021-09-01",43,63
"2021-10-01",45,67
"2021-11-01",42,60
"2021-12-01",43,62
"2022-01-01",37,52
"2022-02-01",36,53
"2022-03-01",38,54
"2022-04-01",43,64
"2022-05-01",42,61
"2022-06-01",45,62
"2022-07-01",44,65
"2022-08-01",47,68
"2022-09-01",50,74
"2022-10-01",45,68
"2022-11-01",45,64
"2022-12-01",45,64
"2023-01-01",45,68
"2023-02-01",50,68
"2023-03-01",44,58
"2023-04-01",45,67
"2023-05-01",47,68
"2023-06-01",53,74
"2023-07-01",51,75
"2023-08-01",52,83
"2023-09-01",48,70
"2023-10-01",47,68
"2023-11-01",44,69
"2023-12-01",46,66
"2024-01-01",46,65
"2024-02-01",49,76
"2024-03-01",51,72
"2024-04-01",53,91
"2024-05-01",58,86
"2024-06-01",54,87
"2024-07-01",55,84
"2024-08-01",55,86
"2024-09-01",53,82
"2024-10-01",54,82
"2024-11-01",54,79
"2024-12-01",54,85
"2025-01-01",56,82
"2025-02-01",54,78
"2025-03-01",53,78
"2025-04-01",58,88
"2025-05-01",59,86
"2025-06-01",62,89
"2025-07-01",65,91
"2025-08-01",76,100
"2025-09-01",67,97
"2025-10-01",68,91
"2025-11-01",65,92
"2025-12-01",61,81
"2026-01-01",57,78
"2026-02-01",60,81
"2026-03-01",57,78
"2026-04-01",60,82
"2026-05-01",55,73
